idmarca;marca
; 
;  Dh Standard
; Promax
; 08X125
; 10X150
; 12X175
; 1540 Peak Tech
; 16C84 - 16C74
; 3E
; 3M   
; A.R. Systems
; A.S.D.
; Abi
; Abratoois
; Accoustic Control
; Aceco
; Acer
; Acr Beta Evoluccion
; Acustic Control
; Advantest
; Aeg
; Agfa - Gevaert
; Agfa-Gevaert
; Agut
; Airis
; Aiwa
; Akg
; Alcatel
; Alecop
; Alpa
; Alpine
; Alpiro
; Altai
; Altai955072214
; Amper
; Anayak
; Anio
; Aper
; Ar Pneumatic
; Arasol
; Asiber
; Astola
; Ataio
; Ataio (23 - 07 - 03)
; Atersa
; Atlas
; Aurope
; Autoplas
; Bearcart
; Beco
; Beha
; Belkin
; Beno
; Berdin
; Bhm
; Bjc
; Black Decker
; Blausonic
; Blinker
; Bo-Lor
; Borletti
; Bosch
; Bouyer
; Brighton
; Briosher?S
; Btr7
; C.E.I.
; C.Magma
; C.N.C.
; C.N.T.
; C.V.
; Cae
; Camp
; Carrier
; Casals
; Cascos
; Ccb
; Cedisa
; Cedisa / Norgren Martonair
; Celta
; Cesva
; Cetrisa
; Cevisa
; Ch
; Charpy
; Chauvin Arnoux
; Chilowattore
; Chloride
; Circutor
; Citotig
; Citroem
; Citroen Ax
; Clarivox
; Clavivox
; Climax
; Colegio
; Compac
; Compactline
; Con 12 Herramientas De Torno 
; Con Soporte
; Copperset
; Cordless Phone
; Cornado
; Corvus
; Cosmobean
; Couth
; Covenco
; Creative Labs
; Crucelegui
; Cubit
; Cumbre
; Cvm4961
; D.H.M.
; Daiwa
; Dalton
; Danobat
; Danobat 50
; Dc Power Supply
; De Lorenzo
; De Sobremesa
; Decade
; Deck
; Delfos
; Demestres
; Denon
; Desisti Lighting
; Dewalt
; Dewat
; Dewatt
; Dgtel
; Diamond
; Didactic
; Diediesheim Cumbre
; Diele
; Digitus
; Disc Compatc
; Distesa
; Dod
; Dood
; Dr1
; E.P.S.
; Ecler
; Eela
; Ega
; Eh
; Ehq Power
; Ehqpower
; Eib
; Elbe
; Elima
; Elkon
; Elmo
; Elohmi
; Elpro
; Elwe
; Emco
; Emcotrinic
; Emcotronic
; Emi-Meg
; Enera
; Enosa
; Enoscop
; Enoscop Standard
; Eps
; Ericsson
; Esa Electronica
; Escenic Egi
; Etamic
; Euromaquinas
; Exact
; Exact ( Debaja 9 - Julio - 03 )
; Eymasa
; F1 - C.N.C.
; Fagor
; Farfisa
; Fejola
; Femsa
; Fenwich
; Ferguson
; Fermax
; Ferve
; Festo
; Fexac
; First
; Fischertechnik
; Fishertechnik
; Fky Cripton
; Fluke
; Fonestar
; Freak
; Fresmak
; Fte
; Gala Gar
; Galagar
; Garmin
; Geholz
; General Electrique
; Genius
; Ger
; Gewiss
; Gossen
; Grady
; Grafoscop
; Greusen
; Groupe Schneider
; Grouzet
; Grundig ( 23 - 07 - 92 )
; Grunding
; Gumersindo
; Gy Spot
; Hameg
; Harry Walker
; Heco
; Hella
; Hercar
; Herdenhain
; Hewlett Packard
; Hidraulik Ring
; Hifi
; Hildebrand
; Hitachi
; Honigtec
; Hoytom
; Huron
; Hydraulic Ring
; Ibarmia
; Ice
; Icepic
; Icnetwork
; Ime
; Industrias Electricas
; Infra Quick
; Instek
; Instruments Division
; Intek
; Interapid
; Iomega
; Isa
; Iso-P30
; Itt Nokia
; Jarbe
; Jaso
; Jbc
; Jj
; Josval
; Jover
; Juaristi
; Jvc
; Jvp7133D
; K?fer
; Kaise
; Kaztell
; Kd
; Keithley
; Kenwood
; Kenwood ( 22 - 07 - 03 )
; Komban
; Krone
; Kx
; Lac
; Lac-Sti
; Lagun
; Lagun Grupo Goratu
; Lantek
; Lavis
; Laybox
; Ld Didactic
; Lealde
; Legrand
; Lematec
; Lenco
; Lg
; Lh
; Liesegang
; Linksys
; Lme
; Lme ( 23 - 07 - 03 )
; Lme ( 23 - 07 - 92 )
; Logitech
; Lpkf
; Lux
; M?eller
; Macc
; Maconi Instrument
; Malte Manson
; Manfrotto
; Manual
; Manumag
; Marantz
; Marchesi
; Marga Ceforte
; Martonair 
; Martonair M/3500
; Martonair M/3512
; Material Didactico
; Material Seccionado
; Maximat
; Mazda
; Meb
; Mediamax
; Mega
; Mega01
; Melvox
; Meopta
; Merix Geico
; Meteor
; Metrega
; Metrica
; Metter Toledo
; Milko-12
; Milvus
; Mini Car
; Minilor
; Minitago
; Minsa
; Mitsubishi Electric
; Mitutoyo
; Modulo O
; Modulo Y
; Morse
; Motaworks
; Motoplat
; Mp-210
; Mupem
; Musicson
; N.O.
; N? 2
; N2V
; Nagoya
; National Instruments
; Nei
; Netgear
; Netzgerat
; Neumatica
; Neutrik
; Nilfisk
; Nokia
; Nordmende ( 22 - 07 - 03 )
; Normatest
; Nortek
; Nuova Elettronica
; Oerlikon
; Oki
; Oma
; Omb
; Onkyo
; Opascope Iii
; Opel
; Optimus
; Orbis
; Orlicon
; Orpi
; Outline
; Ovislink
; Paliba
; Pamasa
; Panasonic
; Panasonic ( 22 - 07 - 92 )
; Pantec
; Peacock
; Pel
; Pelco
; Peque?o
; Perpetuum-Ebner
; Philips
; Phonic
; Physics
; Pinocho
; Pinqcho
; Pioneer
; Plus
; Pratt & Whitney
; Probator
; Probidensa
; Probidesa
; Proenergy
; Promax
; Promax ( 22 - 07 - 03 )
; Promax 1828
; Px-14S
; R.O.E. (Telecom)
; Radio Energie
; Radiometrico
; Rambold
; Redyman
; Releco
; Retexhit
; Retex-Kit
; Revex
; Riesa
; Roca
; Rogen
; Rohde&Sccchwarz
; Rpm Photo
; Saci
; Sacia
; Saf
; Safety - Kleen
; Safmig
; Salesianos
; Salgar
; Salicru
; Samlex
; Samsung
; Samur
; Sanavik R/66
; Sandvik 1020-M20
; Sandvik 425-P25
; Sandvik S10T-P10
; Sansung
; Sanyo
; Schnerder
; Screen Line
; Sedisa
; Sennhiser
; Serra
; Shany
; Sharp
; Shc
; Shoott
; Siemens
; Simatic
; Simon
; Simon ( 23 - 07 - 03 )
; Simpesfaip
; Simpson
; Sincrotest
; Smatic
; Smc
; Soar
; Soler
; Solgar
; Somso C - 17
; Somso D - 25
; Somso D - 30
; Somso E- 11
; Somso F - 12
; Somso G -12
; Somso K - 21
; Sony
; Sound Ideas
; Spot
; Spraymaq
; Sprecher
; Square
; Starvox
; Stayer
; Stone Wood
; Studiomaster
; Sunsihine
; Super Lema
; Superema
; Sz
; T-180 (Lincoln Electronic)
; T7
; T7P
; T8
; Taci
; Taiwan
; Takeda Rikem
; Tascam
; Tatung
; Taylor
; Tb7
; Tbk
; Teac
; Teak
; Team
; Technics
; Technisat
; Tedak
; Tegui
; Teide
; Tejero
; Tektronix
; Telect
; Telefonica
; Telefumken
; Telefunken
; Telemecanique
; Telequipment
; Telequipment (22 - 07 - 03)
; Televes
; Televes (Graphics)
; Tellsa
; Teltronic
; Telyco
; Tenda
; Tenma
; Tes
; Tesa
; Testboy
; Tm 3401
; Toa
; Topward
; Trainer
; Trendnet
; Trio
; Trio ( 22 - 07 - 03)
; Trolley Jack
; Trust
; Ttl ( 22 - 07 - 03 )
; U3S
; Unaohm ( 22 - 07 - 92 )
; Unc
; Unik
; Unimate
; Uni-Pex
; Uniz
; Urpe
; Ursus
; Velleman
; Volvo
; Vulvo
; Wavetel
; Weldlime
; Wheatstone
; Winfast
; Withworth
; Wnderton
; Wodafone
; Work
; Wurth
; Yaesu
; Yamaha
; Yew
; Yfe
; Yokogawa
; Ziur
; Zubal
; Zudam
